Show Number, Air Date, Round, Category, Value, Question, Answer,contestant_names,contestant_locations
6282,2012-01-03,Final Jeopardy!,ASTRONOMY,None,In July 2011 it completed its first orbit around the Sun since its discovery in 1846,Neptune,"Nicholas Campiz, Sally Sommers Smith, Dave Leach","Florida, Maine, Georgia"
5967,2010-07-20,Final Jeopardy!,LEGENDARY PUBLIC SERVANTS,None,"In 1929 he became a special agent with the Treasury Department's Prohibition Bureau, Chicago Division",Eliot Ness,"Donna Gottlieb, Gene Beed, John Krizel","New Jersey, California, West Virginia"
4663,2004-12-08,Final Jeopardy!,THE CABINET,None,He's been both the youngest & the oldest U.S. Secretary of Defense in history,Donald Rumsfeld,"Megan Susman, Alex Bready, Jackie Cipa","Virginia, Maryland, Pennsylvania"
4862,2005-11-01,Final Jeopardy!,THE OLD WEST,None,"This outlaw's father, a minister, gave him his first & middle names after an 18th century English clergyman",John Wesley Hardin,"Philip Huang, Jeremy Evans, Maria Wenglinsky","California, Ohio, Utah"
2975,1997-07-04,Final Jeopardy!,COMPOSERS,None,One of this Russian's best-known works is the fiendishly difficult Piano Concerto No. 3 of 1909,Sergei Rachmaninoff,"Barb Fuson, Peter Braxton, Brick Barrientos","Illinois, Virginia, Maryland"
4664,2004-12-09,Final Jeopardy!,RARITIES,None,All 6 examples of his signature known to exist date from between 1612 & 1616,William Shakespeare,"Tom McCudden, Karen Lafferty, Megan Susman","North Carolina, California, Virginia"
5210,2007-04-13,Final Jeopardy!,HOLIDAYS & OBSERVANCES,None,"Decreed by Congress in 1989, National Tap Dance Day falls on the May 25th birthday of this man born in 1878",Bill Robinson,"Gin Peck, Matt Sojot, Chris Dellicarpini","New York, Hawaii, New York"
3541,2000-01-17,Final Jeopardy!,U.S. STAMPS,None,FDR's in 1982 was the last stamp to show 1 of these; they were removed from photos of Jackson Pollock & Edward R. Murrow,Cigarette,"Kara McDermott, Wes Borucki, Lewis Targownik","Massachusetts, Michigan, Manitoba"
4287,2003-04-01,Final Jeopardy!,WORDS,None,It's the common English word that is pronounced differently when it becomes the name of a language,polish/Polish,"Mike Cantor, Donna Lee DePrille, Jay Stang","Maryland, Massachusetts, California"
5102,2006-11-14,Final Jeopardy!,THE UNITED NATIONS,None,"Of the 5 permanent members of the U.N. Security Council, the one that's the smallest in area",the United Kingdom,"Harry Shearer, Isaac Mizrahi, Soledad O'Brien","an actor/writer/producer from , a fashion designer from the Style Network, a broadcast journalist from CNN's "
4265,2003-02-28,Final Jeopardy!,THE USA,None,"In area, they're the largest & smallest states that joined the Union in the 19th century",Texas & West Virginia,"Rich Reddick, Susan Jensen, Jeff Fowler","Texas, California, California"
5120,2006-12-08,Final Jeopardy!,ENGLISH LITERATURE,None,"This work says, ""Better to reign in Hell, than serve in Heaven""",Paradise Lost,"Rebecca Bizonet, Gilbert Mercado, Christian Haines","Michigan, California, Virginia"
5756,2009-09-28,Final Jeopardy!,OLD NAMES IN THE NEWS,None,"After running pyramid schemes & spending time in federal prison, he was deported back to Italy in 1934",Carlo Ponzi,"Jeffrey Niblack, Pat Spangler, Andy Srinivasan","Washington D.C., Maryland, North Carolina"
4167,2002-10-15,Final Jeopardy!,FIELDS OF SCIENCE,None,"Ludwig Prandtl, an expert in wind tunnel & wing design, is called ""The Father of"" this aviation-related field",aerodynamics,"Sarah White, Michan Connor, Henry Quillen","California, Massachusetts, Georgia"
3320,1999-01-29,Final Jeopardy!,ANIMALS,None,"This animal's name is from Bantu for ""mock man""",Chimpanzee,"Caroline Walsh, Paul Reisser, Karl Wallig","California, California, Oregon"
3643,2000-06-07,Final Jeopardy!,WOMEN IN POEMS,None,"Poe wrote ""To"" her, ""Thy hyacinth hair, thy classic face, thy naiad airs have brought me home...""",Helen,"Jason Parker, Janet Aitoro, Rahul Ranadive","Florida, Connecticut, Florida"
5055,2006-07-28,Final Jeopardy!,AMERICANA,None,"A monument at this Nebraska site bears the words ""He ain't heavy, Father... he's m' brother""",Boys Town,"Brad Jeffcoat, Reda Chambers, Eugene Manning","Georgia, Arizona, Hawaii"
5487,2008-06-17,Final Jeopardy!,FAMOUS NAMES,None,"Jefferson called him ""Attila of the age dethroned... shut up within the circle of a little island of the Mediterranean""",Napoleon,"Brian MacKenzie, Ginger Beireis, Dave Simpson","Washington, Tennessee, Maryland"
3776,2001-01-22,Final Jeopardy!,WORLD MONUMENTS,None,A statue of Chang & Eng Bunker stands in Samut Songkram in this country,Thailand,"Jenny Fielding, Mike Emerman, Gina Morse","Massachusetts, Massachusetts, New York"
1245,1990-01-19,Final Jeopardy!,ANCIENT TIMES,None,This city didn't exist at the time of the Trojan War so Paris couldn't have abducted Helen from there,Sparta (Helen was married to the king of Sparta),"John Mackall, Florence Shimano, Steven Kurtz","California, California, a columnist originally from Michigan"
5271,2007-07-09,Final Jeopardy!,U.S. HISTORY,None,"A 1924 law gave citizenship to all these members of what were called ""domestic dependent nations""",Native Americans,"Josh Kamensky, Helen Freeman, Tim Abou-Sayed","California, New York, Florida"
3334,1999-02-18,Final Jeopardy!,MODERN AFRICAN HISTORY,None,"Africa's newest independent state, it was an Italian colony until WWII, & later incorporated into another country",Eritrea (formerly part of Ethiopia),"Dave Abbott, J.J. Todor, Juliet Wiley","Ohio, Ohio, Texas"
6226,2011-10-17,Final Jeopardy!,2011 EVENTS,None,"To mark an historic visit, on May 17 an Irish army band played this song followed by Ireland's anthem","\""God Save The Queen\""","Jeff Dufour, Lanny Timan, Joe Koster","Washington D.C., Illinois, New Hampshire"
5296,2007-09-24,Final Jeopardy!,AUTHORS,None,"Chapters in a 1914 novel by this author include ""Jungle Battles"", ""His Own Kind"" & ""The Call of the Primitive""",Edgar Rice Burroughs,"Albert Chu, Elizabeth McKenna, Sara Price","Ohio, New York, California"
4903,2005-12-28,Final Jeopardy!,PULITZER PRIZE-WINNING PLAYS,None,"This play says ""Then transfer to one called Cemeteries and ride six blocks and get off at--Elysian Fields!""",A Streetcar Named Desire,"Kevin Gomes, Leslie Hickey, Rex Babiera","Nebraska, Ohio, Illinois"
5648,2009-03-11,Final Jeopardy!,LITERARY CHARACTERS,None,"The name of this character from an 18th century French work is from the Greek for ""all tongues""",Dr. Pangloss,"Cora Peck, Dan Pawson, Carl Brandt","California, Massachusetts, Pennsylvania"
4657,2004-11-30,Final Jeopardy!,BUSINESS & INDUSTRY,None,"Most of this firm's 70,000 seasonal white-collar employees work only 4 months a year",H&R Block,"David Hankins, Nancy Zerg, Ken Jennings","Minnesota, California, Utah"
4877,2005-11-22,Final Jeopardy!,20th CENTURY BOOKS,None,"This 1972 book, a bestseller in 2005, begins, ""We were somewhere around Barstow... when the drugs began to take hold""",Fear and Loathing in Las Vegas (by Hunter Thompson),"Bill MacDonald, Jeanne McDougall, Michael Cramer","Florida, California, Virginia"
4249,2003-02-06,Final Jeopardy!,HISTORIC AMERICAN PLACES,None,"Over 260,000 people have been buried here, starting in 1864",Arlington National Cemetery,"Shuyu Wang, Ben Swartz, Jonathan Gillerman","Michigan, Virginia, New York"
6242,2011-11-08,Final Jeopardy!,18th CENTURY AUTHORS,None,"In a poem he named himself Cadenus, an anagram of Decanus, or ""Dean""",Jonathan Swift,"Christopher Short, Justin Sausville, Mark Runsvold","Indiana, Maryland, Idaho"
4820,2005-07-15,Final Jeopardy!,CHILDREN'S LITERATURE,None,"This 1952 classic contains the line ""No one was with her when she died""",Charlotte's Web,"Karen Arciero, Mark Murray, David Madden","Minnesota, California, New Jersey"
5123,2006-12-13,Final Jeopardy!,UNIVERSITY GEOGRAPHY,None,Around 1830 the first Catholic priest ordained in the U.S. obtained land in this state where a university now stands,Indiana,"Cory Hartman, Tara Kolden, Lorraine Mariz","New Jersey, Washington, California"
5860,2010-02-19,Final Jeopardy!,ARTISTS,None,"In 1882 he wrote, ""Though I am often in the depths of misery, there is still calmness, pure harmony, and music inside me""",Vincent van Gogh,"Pablo Garcia, Lisa Dengate, Elizabeth Galoozis","Pennsylvania, New York, Massachusetts"
3688,2000-09-20,Final Jeopardy!,NEWSPAPERS,None,Sime Silverman founded it in 1905 after he was fired from another paper for panning a show,Variety,"Andrew Garen, Barbara James, Dana Mermelstein","New York, New Jersey, Washington D.C."
4819,2005-07-14,Final Jeopardy!,VOLCANOES,None,"In the last 400 years, over 2/3 of all the deaths caused by volcanoes occurred in what is now this nation",Indonesia,"Jennifer Burrus, Kate Brogan, David Madden","Kansas, New Hampshire, New Jersey"
4123,2002-07-03,Final Jeopardy!,U.S. LANDMARKS,None,"Opened in 1962, its paint included Astronaut White for the supports & Re-entry Red for the ""halo""",the Space Needle (in Seattle),"Peter Schmidt, Matt Doyle, Jeff Goldfarb","California, Virginia, New York"
2923,1997-04-23,Final Jeopardy!,CONTEMPORARY AMERICANS,None,"In December 1996 his reference to ""Irrational Exuberance"" sent stock prices plunging around the world",Alan Greenspan,"Bryan McKown, Roger Bauman, Pam Storm","South Carolina, Minnesota, Massachusetts"
5969,2010-07-22,Final Jeopardy!,SCIENCE HISTORY,None,"This concept dates to a 1783 paper by John Michell, who theorized about a body with the sun's density & 500 times its diameter",a black hole,"Alison Stone Roberg, Dan Highlands, John Krizel","Missouri, Massachusetts, West Virginia"
4662,2004-12-07,Final Jeopardy!,PLAYWRIGHTS,None,His 1840s romance with an older housemaid in Grimstad may have inspired his later themes of guilt & social hypocrisy,Henrik Ibsen,"Shelley Singh, Jackie Cipa, Dennis Grace","Pennsylvania, Pennsylvania, Michigan"
3916,2001-09-17,Final Jeopardy!,FAMOUS PHRASES,None,This expression comes from a 1956 novel about Frank Skeffington's final run for mayor,"\""the last hurrah\""","Leigh Cordner, Juliet Chase, Mark Dawson","Ontario, Massachusetts, Georgia"
4843,2005-10-05,Final Jeopardy!,RECORD SETTERS,None,"On August 6 & 7, 1961, Gherman Titov did this 17 times; the previous record was one",orbit the Earth,"Justin Porter, Caren Chancey, Jason Richards","South Carolina, Maryland, Maine"
3481,1999-10-25,Final Jeopardy!,THE CABINET,None,The seal of this cabinet department has an anvil on it,Department of Labor,"Ann Darby, Alancia Wynn, Eddie Timanus","New Jersey, Virginia, Virginia"
59,1984-11-29,Final Jeopardy!,THE CALENDAR,None,The only day of the week named for a Roman god,Saturday,"Nancy Burns, Tom McGinn, Mark Loundy","Illinois, Ohio, California"
2916,1997-04-14,Final Jeopardy!,STATE CAPITALS,None,"Like its major streets Hope, Benefit & Friendship, its name is an abstraction","Providence, Rhode Island","Tom Ayala, Sue Keller, David Forman","Washington D.C., New York, New York"
6197,2011-07-19,Final Jeopardy!,19th CENTURY NOVELS,None,"This novel's first epilogue says, ""the activity of Alexander or of Napoleon cannot be called useful or harmful""",War and Peace,"Tom Vaughan, Christine Janson, Mark Runsvold","Maine, Maryland, Idaho"
3494,1999-11-11,Final Jeopardy!,U.S. LAKES,None,"This lake is the remnant of former Lake Bonneville, which existed during the Pleistocene epoch",The Great Salt Lake,"Chacko George, Kristi Jones, Emily Deveau","Louisiana, Ohio, Michigan"
2925,1997-04-25,Final Jeopardy!,U.S. PRESIDENTS,None,2 of the 5 presidents in the 20th century who were former U.S. senators,"(2 of) Warren Harding, Harry Truman, John Kennedy, Lyndon Johnson & Richard Nixon","Courtney Conrad, Doug Antoniazzi, Roger Bauman","Florida, Massachusetts, Minnesota"
4561,2004-06-07,Final Jeopardy!,WORDS & PHRASES,None,"Once slang for brain, this 2-word phrase now means the Heritage Foundation or the Brookings Institution",a think tank,"Clinton Wieden, Josh Hornik, Ken Jennings","Oklahoma, California, Utah"
3782,2001-01-30,Final Jeopardy!,WORLD LEADERS,None,From 1964 to 1982 this man was leader of a nation with nuclear weapons,Leonid Brezhnev (of the Soviet Union),"Louis Mrachek, Cara Colbert, Matt Waddell","Washington D.C., Texas, New York"
4975,2006-04-07,Final Jeopardy!,TELEVISION,None,"The television documentary ""America's Favorite Neighbor"" was a tribute to him",Fred Rogers,"Melanie Madden, William Lee, Michael Falk","California, California, Wisconsin"
5625,2009-02-06,Final Jeopardy!,MUSIC LEGENDS,None,"His 2003 People magazine obituary was headlined ""Fade to Black""",Johnny Cash,"Laura Groch, Julia Dominick, Gail Flemmons","California, Ohio, Mississippi"
5507,2008-07-15,Final Jeopardy!,OLYMPIC CITIES,None,This city's Olympics were exactly 200 years after the death of the British cabinet secretary it was named for,Sydney,"Gail Sneyers, Holden Toplin, Randall Eng","South Carolina, Pennsylvania, New York"
2118,1993-11-17,Final Jeopardy!,WORLD GEOGRAPHY,None,"It's the northernmost mountain in the world over 20,000 feet in elevation",Mt. McKinley (Denali),"David Tiemann, Walt Senterfitt, Leslie Miller","Maine, California, Virginia"
5481,2008-06-09,Final Jeopardy!,THE INTERNET,None,"On March 10, 2003 this nation got control of the .af Internet domain",Afghanistan,"Brielle Maynor, Traci Turnbaugh Siegel, Donna Vogel","Ohio, Texas, Maryland"
1480,1991-01-25,Final Jeopardy!,MONARCHS,None,One of two English kings since William The Conqueror who were never crowned,Edward V & Edward VIII,"Harry Bork, Mark Picus, Lynne Wexler","Illinois, Texas, Illinois"
4892,2005-12-13,Final Jeopardy!,FACTS ABOUT THE PRESIDENTS,None,He was the only 20th century president who had previously served as U.S. House Minority Leader,Gerald Ford,"James Reeves, Amy Johnson, Rich Way","Louisiana, Washington, California"
2736,1996-06-24,Final Jeopardy!,U.S. GOVERNMENT,None,"On Jan. 1, 1996 this oldest government regulatory agency, established in 1887, closed",the Interstate Commerce Commission,"Sandy Andina, Pete Brunner, Karl Coryat","Illinois, Maryland, California"
2020,1993-05-21,Final Jeopardy!,POETRY,None,The woman with the most quotes in the new edition of Bartlett's Familiar Quotations is this American,Emily Dickinson,"Ira Schwartz, Bronwyn Noble, Sue Agos","Georgia, Wisconsin, New York"
2988,1997-09-03,Final Jeopardy!,FAMILIAR PHRASES,None,"The phrase ""Flower Power"" was coined by this poet in the 1960s",Allen Ginsberg,"Wayne Weil, Beth Reardon, Dan Melia","New York, Tennessee, California"
3241,1998-10-12,Final Jeopardy!,20th CENTURY POLITICIANS,None,Last name shared by 2 third party U.S. presidential candidates who ran 20 yrs. apart & each got over a million votes,Wallace (Henry & George),"Alex Gershanik, Margaret Boben, Melizza Zygmunt","Louisiana, Alabama, Indiana"
5793,2009-11-18,Final Jeopardy!,THE 18th CENTURY,None,"If the Earl of Chesterfield hadn't gotten England to adopt this, he'd have died March 13 instead of March 24, 1773",the Gregorian Calendar,"Jarret Izzo, Drusha Mussmann, Chris Rodrigues","New York, Indiana, Massachusetts"
5887,2010-03-30,Final Jeopardy!,NAVAL HEROES,None,"When he was killed in battle in 1805, he was wearing a uniform coat with sewn-on replicas of his 4 orders of chivalry",Admiral Nelson,"Emily Cloyd, Stacy Braverman, Manny Maldonado III","Michigan, Washington D.C., Texas"
2339,1994-11-03,Final Jeopardy!,PLAYWRIGHTS,None,"He's won 3 Pulitzer Prizes for drama--in 1967, 1975 & 1994",Edward Albee,"Ryan Holznagel, Yung-Chang Chi, Russ Woodford","Oregon, California, Maryland"
5908,2010-04-28,Final Jeopardy!,SCIENCE HISTORY,None,"In August 1971 on the Moon's surface, an astronaut repeated a famous experiment & declared that this man ""was correct""",Galileo,"Alexandra Helprin, Buddy Wright, Randall Johnson","New York, Texas, Washington"
3434,1999-07-08,Final Jeopardy!,U.S.A.,None,"In 1999 several counties around Cape Canaveral, Florida were assigned this new telephone area code",321,"Terry Anderson, Suzy Fletcher, Paul Risner","California, California, Florida"
1799,1992-05-28,Final Jeopardy!,FOOD & DRINK,None,"Before the introduction of Diet Coke, this was he leading diet soft drink in the U.S.",Tab,"Lynn Evans, Bernard Welt, Bob Smith","Virginia, Maryland, New Jersey"
3738,2000-11-29,Final Jeopardy!,LITERARY CHARACTERS,None,In 1829 he leaves an islet in Marseille's harbor & finds treasure on an islet in Italy's Tuscan Archipelago,The Count of Monte Cristo (Edmond Dantes),"Tim Morton, Deb Fleisig, Scott Rogers","Maryland, Rhode Island, Virginia"
4639,2004-11-05,Final Jeopardy!,LITERATURE,None,"In early drafts, the heroine of this novel was named Pansy & her family home was called Fontenoy Hall",Gone with the Wind,"Elizabeth Costello, John Murray, Ken Jennings","New York, New Jersey, Utah"
2934,1997-05-08,Final Jeopardy!,ROYAL COUPLES,None,Princess Sophia of Greece gave up her right of succession to Greece's throne before marrying him in 1962,King Juan Carlos of Spain,"Boris Levit, Per Gunnar Hillesoy, Michael Daunt","a film technician and audio editor from Israel, an assistant dean of students from Norway, an accountant from Canada"
6156,2011-05-23,Final Jeopardy!,MEDICINE,None,"In 1964 a dean at Tufts' medical school wrote a modern version of this, used at many medical school graduations",the Hippocratic Oath,"Joseph Tambornino, Cindy Clark, Matt Neville","California, Alberta, Connecticut"
2806,1996-11-11,Final Jeopardy!,FRENCH NOVELISTS,None,"Ideas in his novels that have come true include space travel, television & the submarine",Jules Verne,"Laura Innes, John Mahoney, Beverly Sills","an actress from , an actor from , a coloratura soprano from the Lincoln Center for the Performing Arts"
6129,2011-04-14,Final Jeopardy!,AUTHORS ON AUTHORS,None,"Faulkner said this writer ""has no courage"" & ""has never used a word where the reader (may need) a dictionary""",Ernest Hemingway,"Miguel Ruiz, Annie Douglass, Sara Heard","California, Oregon, New York"
2957,1997-06-10,Final Jeopardy!,FASHION HISTORY,None,In 1849 Americans traveling to the California gold fields via boat popularized this hat,Panama Hat,"Arthur Phillips, Ellen Auerbach, Wes Ulm","Massachusetts, Washington D.C., Virginia"
4955,2006-03-10,Final Jeopardy!,HISTORIC DOCUMENTS,None,"Clause 39 of this reads ""No freeman shall be taken, or imprisoned... except by the legal judgment of his peers""",the Magna Carta,"Chris Smith, Brett Crawford, Randy Logan","Texas, Maryland, Texas"
6116,2011-03-28,Final Jeopardy!,SPORTS IN AMERICA,None,"Founded in 1795, this city that hosts a popular annual sporting event has ""sport"" in its name",Williamsport,"Denise O'Connor, Trey McCraw, Julie Ross Godar","New Jersey, North Carolina, California"
3557,2000-02-08,Final Jeopardy!,POETRY,None,"Title hero who ""silently rowed to the Charlestown shore, just as the moon rose over the bay""",Paul Revere,"Michael LaMasse, Natalie Tindall, Adam Center","Michigan, Florida, Georgia"
2756,1996-09-02,Final Jeopardy!,PLAYS,None,"The preface to this 1913 play was entitled ""A Professor of Phonetics""",Pygmalion,"Bernie Cullen, Jim O'Leary, Kirstin Olsen","Ireland, New York, California"
3737,2000-11-28,Final Jeopardy!,ARCHITECTS,None,"This woman designed NYC's Museum for African Art, as well as a famous memorial in Washington, D.C.",Maya Ying Lin,"Scott Rogers, Carolyn Saxon, Jackie Kaufman","Virginia, New Jersey, Illinois"
6172,2011-06-14,Final Jeopardy!,FLAGS OF THE WORLD,None,"""L'Unifolié"" is one of the names popularly given to the new flag unveiled in 1965 by this country",Canada,"Jeff Fleischer, LuEllen Buhrman, Nick Condon","Illinois, Virginia, Colorado"
4714,2005-02-17,Final Jeopardy!,AMERICAN WRITERS,None,"These 2 writers of lavish prose, born in North Carolina & Virginia 30 years apart, have the same first & last name",Thomas Wolfe & Tom Wolfe,"Michael Arnone, Sahir Islam, Bev Schwartzberg","Virginia, New York, California"
5885,2010-03-26,Final Jeopardy!,PHRASE ORIGINS,None,"In 1945 George Orwell coined this 2-word phrase for ""an epoch as horribly stable as the slave empires of antiquity""",cold war,"Huat Lim, Kerry Smith, Regina Robbins","Washington, Michigan, New York"
3432,1999-07-06,Final Jeopardy!,VITAMINS & MINERALS,None,"The name of this vitamin is from the Latin for ""leaf"" because leafy green vegetables are a good source",Folic acid,"Clay Brown, Chris Sullivan, Corey Leahy","California, Connecticut, Texas"
4752,2005-04-12,Final Jeopardy!,ASTRONOMY,None,"It's the colorful 2-word term used to describe the motion of galaxies coming toward us, like Andromeda is",blue shift,"Roy Holliday, Steve Chernicoff, Ben Lyon","New York, California, Texas"
3561,2000-02-14,Final Jeopardy!,HISTORIC QUOTATIONS,None,According to Suetonius it was inscribed on a parade wagon after the 5-day Pontic campaign of 47 B.C.,"\""Veni, Vidi, Vici\"" (\""I came, I saw, I conquered\"")","Gina Bronsberg, Natalie Tindall, Greg Hodgin","Illinois, Florida, South Carolina"
5923,2010-05-19,Final Jeopardy!,OPERA,None,"The aria ""Pour mon ame"" by Donizetti includes 9 of these; a few tenors have earned the nickname ""King of"" them",high Cs,"Vijay Balse, Andy Srinivasan, Justin Bernbach","New Jersey, North Carolina, New York"
3216,1998-09-07,Final Jeopardy!,PRIME MINISTERS,None,2 of the 4 countries that have had prime ministers who were father & daughter,"Bangladesh, India, Pakistan & Sri Lanka","Kathy Donegan, Brannon Denning, David Bagley","Maryland, Connecticut, California"
4728,2005-03-09,Final Jeopardy!,20th CENTURY NOVELS,None,"It begins, ""'To be born again,' sang Gibreel Farishta tumbling from the heavens, 'first you have to die'""",The Satanic Verses (by Salmon Rushdie),"Michael Rooney, Mark Lowenthal, Erik Larsen","California, Virginia, Florida"
6049,2010-12-23,Final Jeopardy!,SPORTS,None,"In 1744 the first mention of this now popular sport said, ""away flies the boy to the next ...post and then home with joy""",baseball,"Samantha Barry, Corey York, Tom Nissley","California, Illinois, Washington"
4105,2002-06-07,Final Jeopardy!,ACTORS & ROLE,None,"In a 2001 film Jon Voight played this man; in a 2002 TV movie, so did John Turturro",Howard Cosell,"Jennifer Fremlin, Dileep Rao, Erik Best","Canada, California, Michigan"
5328,2007-11-07,Final Jeopardy!,EARLY AMERICAN SHORT STORIES,None,"This short story, written around 1820, contains the line ""If I can but reach that bridge... I am safe""","\""The Legend of Sleepy Hollow\""","Jeff Spoeri, Susan Mitchell, Paul Glaser","Florida, Texas, New York"
4552,2004-05-25,Final Jeopardy!,MYTHS & LEGENDS,None,At a feast he couldn't enjoy his dinner because his life was literally hanging by a thread,Damocles,"Anne Boyd, Glenn Fechner, Jeremy Schanck","California, Pennsylvania, Washington D.C."
3634,2000-05-25,Final Jeopardy!,SOCIAL SCIENCE,None,"It's estimated that of 6,000 in the world today, half will vanish in the next 100 years, including Jingulu & Chamicuro",Languages,"Carly Sporer, Larry Bigman, Mike Andrews","California, California, Michigan"
5605,2009-01-09,Final Jeopardy!,ALPHABETS,None,"In the phonetic alphabet used by the U.S. military, it's the only letter that has the same name as a warrior people",Zulu,"Ellen Gluckman, Jack McPherson, Kori Tyler","Pennsylvania, Arkansas, Tennessee"
2814,1996-11-21,Final Jeopardy!,TEXTBOOKS,None,Dr. Henry Van Dyke Carter provided 363 drawings for this work first published in 1858,Gray's Anatomy,"Lucien Schmit, Bill Dickenson, David Sampugnaro","California, Texas, New York"
2019,1993-05-20,Final Jeopardy!,HISTORIC NAMES,None,In 1529 this Spaniard was made Marques del Valle de Oaxaca,Hernán Cortés,"Andrew Connally, Adam Green, Bev Schwartzberg","Pennsylvania, a financial analyst from New York City, Massachusetts"
3026,1997-10-27,Final Jeopardy!,FAMOUS BUILDINGS,None,"Richard Burbage & Sam Wanamaker, about 400 years apart, were responsible for its building & rebuilding",The Globe Theatre,"Barbara Von Pagel, David Morgenstern, Steve Norton","Washington, Illinois, Washington D.C."
5522,2008-09-16,Final Jeopardy!,PRESIDENTIAL LASTS,None,He was the most recent president who had not previously been a state governor,George H.W. Bush,"Joel Serna, Yoni Freund, Allex Fambles","Texas, a Ph.D. student from Columbia University, a sophomore from Brown University"
4708,2005-02-09,Final Jeopardy!,19th CENTURY PRESIDENTS,None,"With 5, this president had more attorneys general in his administration than any other president",Ulysses S. Grant,"Eric Terzuolo, Michael Galvin, Leslie Frates","the Netherlands, Pennsylvania, California"
2122,1993-11-23,Final Jeopardy!,HISTORIC FRENCHMEN,None,"In 1704 he was commandant of Detroit; a few years later, he was made governor of Louisiana",Antoine de Cadillac,"Leslie Miller, Marilyn Kneeland, Ed Schiffer","Virginia, California, California"
5855,2010-02-12,Final Jeopardy!,BIBLICAL KINGS,None,These 2 men first meet in 1 Samuel 16 when one becomes aware of the musical talent of the other,David & Saul,"Surya Sabhapathy, Nick Yozamp, Ryan Stoffers","a senior from the University of Michigan, a junior from Washington University in St. Louis, a sophomore from UCLA"
4238,2003-01-22,Final Jeopardy!,THE GLOBE,None,"Of the more than a dozen countries through which the equator passes, this country stretches farthest south",Brazil,"Peter Thurrell, Todd Simkin, Charles Rosenthal","North Carolina, Pennsylvania, Florida"
5383,2008-01-23,Final Jeopardy!,FAMOUS ENGLISHMEN,None,Andrew Carnegie's future fortune & career were inspired by an 1873 visit with this inventor & engineer,Henry Bessemer,"Joe McGuinness, Amanda Freisem, Buffy Thoms","Delaware, New York, Louisiana"
3292,1998-12-22,Final Jeopardy!,1998 OPERA NEWS,None,"For his first opera, Andre Previn adapted this 1947 Pulitzer Prize play featuring sex, violence & insanity",A Streetcar Named Desire,"Debra Keil, Roger Goodman, Susan desJardins","Oklahoma, Washington, Maryland"
4761,2005-04-25,Final Jeopardy!,U.S. CITIES,None,In 1790 this Midwest city was named for a society that had been named for a Roman citizen-soldier,Cincinnati,"Steve Newman, Matt Zielenski, Robin Carroll","Maryland, Ohio, Georgia"
2931,1997-05-05,Final Jeopardy!,NOTABLE NAMES,None,"On January 30, 1997, the 49th anniversary of his death, some of his ashes were scattered in the Ganges River",Mohandas K. Gandhi,"Tobias Herzig, Dana Pernille Hansen, Boris Levit","a chemistry student from Germany, a business college student from Denmark, a film technician and audio editor from Israel"
4494,2004-03-04,Final Jeopardy!,FAMOUS LASTS,None,"In July 2003 the last old-style one of these rolled off an assembly line in Mexico, headed for a museum in Germany",the Volkswagen Beetle,"Jennifer Wilder, Matt Fisher, Chris Parsons","Oklahoma, Indiana, Florida"
3724,2000-11-09,Final Jeopardy!,PRESIDENTIAL PETS,None,"As a warning to Congress, president James Garfield named his dog this",Veto,"Jordan Kovnot, Genevieve Romeo, Jim Giesen","Pennsylvania, New York, Washington"
5111,2006-11-27,Final Jeopardy!,FIRST NAMES,None,"The first name of both a naval hero & a character in ""Hamlet"", it's from the Latin for ""timekeeper""",Horatio,"Mary Voigt, Ryan Friedman, Jeff Spoeri","Wisconsin, New Hampshire, Florida"
4802,2005-06-21,Final Jeopardy!,U.S. COLLEGE TOWNS,None,This 2-word city is named for the founders' wives (they had the same name) & the natural groves found there,"Ann Arbor, Michigan","Mike Bober, Elaine Thacker, Donna Brutkoski","Virginia, Pennsylvania, Vermont"
6147,2011-05-10,Final Jeopardy!,THE NATIONAL STATUARY HALL COLLECTION,None,"In 2009 Alabama replaced a statue in the collection with one of her at age 7, the first child honored",Helen Keller,"John Shoe, Lori Kissell, Charley Tinkham","Colorado, Virginia, California"
5599,2009-01-01,Final Jeopardy!,GAMES,None,"In German, this chess piece is ""der Springer""",the knight,"Edith Roberts, Michael Portnoy, Shyra Latiolais","Washington D.C., Florida, Louisiana"
3291,1998-12-21,Final Jeopardy!,TOYS,None,"While making a torsion meter, an engineer got the idea for this classic toy",Slinky,"Martha Thomas, Erik Andersen, James Arey","South Carolina, California, Louisiana"
5452,2008-04-29,Final Jeopardy!,BASEBALL TERMS,None,"Hall of Famer Willie Stargell called it ""a butterfly with hiccups""",a knuckleball,"Gilah Pomeranz, Tom Morris, Ric Leach","Ohio, California, Florida"
3178,1998-05-27,Final Jeopardy!,COMPOSERS,None,One of his most famous works had its premiere on a barge in 1717,George Frideric Handel (the Water Music),"Pamela Rohrich, Ed Lee, Lara Robillard","California, New York, Virginia"
4979,2006-04-13,Final Jeopardy!,'60s NOVELS' FIRST LINES,None,"It begins, ""Amerigo Bonasera... waited for justice; vengeance on the men who had so cruelly hurt his daughter""",The Godfather,"Raena de Silvia, Brian Lamb, Melissa Ahart","Canada, California, New York"
6152,2011-05-17,Final Jeopardy!,FICTIONAL CHARACTERS,None,"The first words he ever spoke to his assistant were ""How are you?... You have been in Afghanistan, I perceive""",Sherlock Holmes,"Ramesh Mantha, Lisa Bloomberg, Joyce Newmark","Ontario, Minnesota, New Jersey"
