show_number,air_date,round,category,contestant_one_name,contestant_two_name,contestant_three_name,contestant_one_location,contestant_two_location,contestant_three_location
5425,2008-03-21,Final Jeopardy!,WORLD LITERATURE,Becky Vartabedian,Ben Hunt,Lisa Schumaker,Colorado,Illinois,Maryland
5032,2006-06-27,Final Jeopardy!,FILMS OF THE '60s,Priya Bhatia Yerasi,Ryan McMillen,Mark Edelson,California,New York,Canada
4921,2006-01-23,Final Jeopardy!,GEM LORE,Bob Mesko,Cynthia Pearson,Marcus Jackson,Colorado,California,"Washington, D.C."
5360,2007-12-21,Final Jeopardy!,POETS,Jeffrey Coogan,Megan Maxwell,Cora Peck,New York,New Jersey,California
6225,2011-10-14,Final Jeopardy!,THE WESTERN HEMISPHERE,Joe Koster,Megan Benitz,Katie Proctor,New Hampshire,Kansas,North Carolina
3051,1997-12-01,Final Jeopardy!,POLITICAL ANAGRAMS,Toni McLaurin,Rod McCarvel,Heather O'Neill,Georgia,Washington,North Carolina
1792,1992-05-19,Final Jeopardy!,ARTISTS,Susan Kornblum,Dennis DiNucci,Jerome Vered,Indiana,Oregon,California
5189,2007-03-15,Final Jeopardy!,NOVEL TITLES,Michael Bandiera,Bobbie Hartman,Scott Weiss,California,Virginia,Maryland
3232,1998-09-29,Final Jeopardy!,HISTORIC AMERICANS,Ben Holland,Carolyn White,Barry Berlin,New Hampshire,Arizona,Georgia
4705,2005-02-04,Final Jeopardy!,U.S. POLITICS,Jimmy Li,Wes Kovarik,Ruvani Fonseka,Missouri,California,Michigan
4894,2005-12-15,Final Jeopardy!,ON THE GLOBE,Maria Kokiasmenos,Tim Ifill,Bill Crowley,Connecticut,Pennsylvania,Canada
5175,2007-02-23,Final Jeopardy!,LITERATURE,Jim Sherman,Dorothy Cassetta,Sri Narayanan,California,Florida,Ohio
4825,2005-07-22,Final Jeopardy!,LEADING MEN OF THE MOVIES,Maya Kobersy,Dan Tick,David Madden,Michigan,California,New Jersey
5905,2010-04-23,Final Jeopardy!,WORDS FROM THE FRENCH,Carl Saras,Kathy Kenny,Phil Bucska,Massachusetts,New Jersey,Michigan
4184,2002-11-07,Final Jeopardy!,HISTORIC BOOKS,Kirsten Hoffstedt Keefe,Andy Morris,Brad Bean,"Washington, D.C.",California,Ohio
3812,2001-03-13,Final Jeopardy!,WORLD CAPITALS,Raj Choudhary,Sean Barry,Siobhan Burke,Texas,Connecticut,California
6275,2011-12-23,Final Jeopardy!,POLITICAL WORDS,Erin Arlow,Sara Plant,Jason Keller,Oregon,California,New Jersey
5241,2007-05-28,Final Jeopardy!,FAMOUS NAMES,Grace Tighe,David Turley,Mehrun Etebari,Virginia,Connecticut,New Hampshire
6065,2011-01-14,Final Jeopardy!,THE PRESIDENCY,Matt McQueary,John McLean,Anthony Fox,Kentucky,California,Illinois
5194,2007-03-22,Final Jeopardy!,U.S. BODIES OF WATER,Alison Fowler,Connie Walters,Paul Horwitz,Oregon,New York,California
6066,2011-01-17,Final Jeopardy!,AUTHORS,Gerard Coletta,Claudia Kasvin,Anthony Fox,Massachusetts,Ohio,Illinois
2899,1997-03-20,Final Jeopardy!,HISTORIC SHIPS,Linda Johnson,Scott Knecht,Steve Douches,Illinois,California,Virginia
3385,1999-04-30,Final Jeopardy!,BRAND NAMES,Cindy Jacques,Brien Wholey,Michael Rooney,North Carolina,Connecticut,California
3006,1997-09-29,Final Jeopardy!,RELIGIOUS TITLES,Dave Moes,Naomi Rose,Pete Vodola,Illinois,Maryland,Connecticut
5436,2008-04-07,Final Jeopardy!,ASSASSINATIONS,Stephen Wilson,Deborah Fitzgerald,Rich House,Delaware,Virginia,Indiana
5824,2009-12-31,Final Jeopardy!,ACADEMY AWARD NOMINATIONS,Patty Jasper,Hayes Davenport,Jessica Stapp,California,Massachusetts,Arizona
4548,2004-05-19,Final Jeopardy!,TOURIST ATTRACTIONS,Kristina Alexander,Tim MacGowan,Al Davis,New York,Virginia,Washington
5164,2007-02-08,Final Jeopardy!,NOVELS,Ben Schenkel,Naomi Hinchen,Frank Firke,Pennsylvania,New York,Illinois
2884,1997-02-27,Final Jeopardy!,U.S. PRESIDENTS,Martha O'Malley,Laurent Ruseckas,Jim Fahner,Wisconsin,New York,Michigan
4940,2006-02-17,Final Jeopardy!,FORMER WORLD CAPITALS,Matt Klein,Papa Chakravarthy,Andrew Kreitz,New York,Kentucky,California
4829,2005-09-15,Final Jeopardy!,EUROPEAN RULERS,Martha McKinney,Michael Shirts,David Madden,Canada,New York,New Jersey
6085,2011-02-11,Final Jeopardy!,1930s FILMS,Kate Rowland,Sarah Monteith,Paul Wampler,Illinois,Texas,Tennessee
5721,2009-06-22,Final Jeopardy!,PRESIDENTS ON FILM,Mike Bartlett,Jennifer Klein,Ingrid Nelson,Florida,Florida,Wisconsin
5925,2010-05-21,Final Jeopardy!,FROM NOVEL TO FILM,Stefan Goodreau,Vijay Balse,Jason Zollinger,California,New Jersey,New York
1886,1992-11-16,Final Jeopardy!,COLLEGES & UNIVERSITIES,April McManus,Richard Kaplan,Leszek Pawlowicz,Minnesota,California,Arizona
4617,2004-10-05,Final Jeopardy!,AMERICANA,Jay Wolman,Pat Greene,Ken Jennings,"Washington, D.C.",California,Utah
1307,1990-04-17,Final Jeopardy!,MAGAZINES,Jim George,Liz Barnea,Steve Mueller,Pennsylvania,Montana,Wisconsin
2751,1996-07-15,Final Jeopardy!,RULERS,Jan Mertens,Steinar Madsen,Elena Kislenkova,Belgium,Norway,Russia
6228,2011-10-19,Final Jeopardy!,THE 20th CENTURY,Lloyd Caesar,Liz Greenwood,Lanny Timan,New York,Pennsylvania,Illinois
2836,1996-12-23,Final Jeopardy!,BUSINESS & INDUSTRY,Barbara Jackson,Charlie Patton,Lucy Shigemitsu,North Carolina,Florida,Japan
3853,2001-05-09,Final Jeopardy!,ANIMALS,Katherine Bushey,Andy Siegler,Ryan Ballengee,Delaware,New Jersey,Maryland
4512,2004-03-30,Final Jeopardy!,AMERICAN LITERATURE,Anne Noble,David Seminer,Valerie Takacs,"Washington, D.C.",California,Ohio
3613,2000-04-26,Final Jeopardy!,U.S. CITIES,Gigi Lehman,Alan Taber,Greg Dwyer,Florida,California,Texas
5406,2008-02-25,Final Jeopardy!,BIBLICAL PLACE NAMES,Bill Needle,Beth Holliday,Aileen Hawkins,Ohio,Arizona,California
5238,2007-05-23,Final Jeopardy!,MNEMONIC DEVICES,Joe Pozzuoli,Susan Wessells,James Clark,New York,North Carolina,Pennsylvania
5335,2007-11-16,Final Jeopardy!,COLONIAL AMERICAN GOVERNMENT,Doug Hicton,Cliff Galiher,Celeste DiNucci,Canada,California,Pennsylvania
5260,2007-06-22,Final Jeopardy!,FOOD & DRINK HISTORY,Deana Weibel-Swanson,Matt Corcoran,Jesse Berry,Michigan,Pennsylvania,Arkansas
5593,2008-12-24,Final Jeopardy!,19th CENTURY BOOKS,Helene Glass,Marmi Maramot,Jim Stevens,Illinois,California,Ohio
5144,2007-01-11,Final Jeopardy!,AMERICAN THEATRE HISTORY,Cindy Peters,Kelly Isenor,Alan Husby,Florida,Massachusetts,Minnesota
2127,1993-11-30,Final Jeopardy!,1990s GEOGRAPHY,Doug Molitor,Mark McDermott,Tom Nosek,California,Iowa,California
3485,1999-10-29,Final Jeopardy!,19th CENTURY FICTIONAL CHARACTERS,Mike Sharkey,Brenda Shafer,Janet Leach,New York,California,New Hampshire
3811,2001-03-12,Final Jeopardy!,BUSINESS & INDUSTRY,Matt Ginsburg,Amy DeLisa,Rick Knutsen,"Washington, D.C.",Massachusetts,New York
3704,2000-10-12,Final Jeopardy!,BRITISH WORD ORIGINS,John Weiner,Ginger Greenstein,David Tepper,New York,New Jersey,Virginia
1605,1991-07-19,Final Jeopardy!,POETS,Bob Olsen,Lou Pryor,Mary Webster,Illinois,Connecticut,California
6091,2011-02-21,Final Jeopardy!,GREEK MYTHOLOGY,Andrew Van Duyn,Raya Elias-Pushett,Nikhil Desai,Illinois,Florida,California
3487,1999-11-02,Final Jeopardy!,SCIENCE HISTORY,Chacko George,Chrissy Ijams,Adam Trabka,Louisiana,California,Connecticut
2861,1997-01-27,Final Jeopardy!,POLITICIANS,Bob Combs,Mauricio Rivero,Laura Glassman,Ohio,Florida,Virginia
6100,2011-03-04,Final Jeopardy!,SCIENTIFIC DISCOVERIES,Mark Pudlow,Sara Lichterman,Carl Bradshaw,Florida,Virginia,Missouri
2052,1993-07-06,Final Jeopardy!,PRESIDENTIAL INAUGURATIONS,George Kopp,Jennifer Read,Ed Schiffer,New York,Maine,New York
4606,2004-09-20,Final Jeopardy!,ART SUBJECTS,Keith Williams,Sam Ott,Arthur Gandolfi,Vermont,California,New York
4584,2004-07-08,Final Jeopardy!,FICTIONAL PEOPLE,Leonard Koss,Oliver Mellet,Ken Jennings,California,California,Utah
5886,2010-03-29,Final Jeopardy!,19th CENTURY LITERATURE,Melissa Kowalski,Manny Maldonado III,Regina Robbins,Pennsylvania,Texas,New York
5180,2007-03-02,Final Jeopardy!,PRESIDENTIAL ELECTIONS,Doug Tibbs,Margaret Tennison,Brian Morris,Ohio,Virginia,Canada
663,1987-06-24,Final Jeopardy!,SCULPTURE,Fran Strykowski,Larry Brown,Bob Verini,New York,California,New York
3720,2000-11-03,Final Jeopardy!,RICH & FAMOUS,Laurence Levy,Jim Holton,Brad Rutter,New York,Florida,Pennsylvania
5583,2008-12-10,Final Jeopardy!,AMERICANA,Barb Schwartz,Matt Jacobs,Geoff Moore,Florida,Connecticut,California
3937,2001-10-16,Final Jeopardy!,USA,Sharon Forsher,Kent Hofmann,Ellen Rourke,Virginia,Nebraska,Illinois
2863,1997-01-29,Final Jeopardy!,U.S. PRESIDENTS,Davia Worthen,Randy Cohen,Bob Combs,Indiana,Pennsylvania,Ohio
5562,2008-11-11,Final Jeopardy!,EARTH FACTS,Bradley Silverman,Brandon Saunders,Casey Clough,Georgia,New York,South Carolina
3952,2001-11-06,Final Jeopardy!,FICTIONAL CHARACTERS,Sherri Rowton,Bong Miquiabas,Trevor Norris,Alabama,Ohio,"Washington, D.C."
5998,2010-10-13,Final Jeopardy!,BRITISH AUTHORS,Terry Andrews,Sara Wilkinson,Suzanne Rorick,Illinois,Georgia,California
2880,1997-02-21,Final Jeopardy!,BRITISH STATESMEN,Claudia Traudt,Michael Grinde,Grace Veach,Illinois,California,Illinois
4965,2006-03-24,Final Jeopardy!,HISTORIC NAMES,Louise Hauser,Lars Jacobsen,Ed Angleton,New York,Vermont,Indiana
6131,2011-04-18,Final Jeopardy!,BASEBALL GEOGRAPHY,John Paul Manuel,Andrew Fuller,Sara Heard,California,Illinois,New York
4757,2005-04-19,Final Jeopardy!,THE CABINET,Shane Whitlock,Eric Newhouse,Steve Berman,Arkansas,Iowa,California
3181,1998-06-01,Final Jeopardy!,SHIPS,Lorin Burte,Mel Banashek,Lara Robillard,Illinois,New York,Virginia
6078,2011-02-02,Final Jeopardy!,U.S. PRESIDENTS,Mike Huijon,Fred Cofone,Molly Rosenbusch,Pennsylvania,Connecticut,Idaho
4658,2004-12-01,Final Jeopardy!,THE 18th CENTURY,Katie Fitzgerald,Nathan Brownback,Nancy Zerg,New York,"Washington, D.C.",California
3830,2001-04-06,Final Jeopardy!,20th CENTURY ENTERTAINMENT,Ross Hooper,Brad Savage,Ryan Moore,New York,Ohio,California
6143,2011-05-04,Final Jeopardy!,FAMOUS SPEECHES,Elisabeth Raab,Matt Polazzo,Lori Kissell,Pennsylvania,New York,Virginia
5544,2008-10-16,Final Jeopardy!,PRESIDENTIAL ELECTION HISTORY,Steven Jones,Amanda Glaser,Meredith Robbins,Missouri,New York,New York
5973,2010-07-28,Final Jeopardy!,RELIGION,Alyssa Morgan,Jen Fick,Nora Corrigan,California,Maryland,Mississippi
5010,2006-05-26,Final Jeopardy!,20th CENTURY WOMEN,Stella Daily,Keith Suta,Robb Muhm,New York,Montana,Arizona
3796,2001-02-19,Final Jeopardy!,THE U.S. SPACE PROGRAM,Brooke Scarpa,Kent Coker,Mark Stacy,Massachusetts,Louisiana,West Virginia
4864,2005-11-03,Final Jeopardy!,CELEBRITIES,Jim Gilcreast,Kingslea Bueltel,Maria Wenglinsky,Rhode Island,Texas,Utah
3978,2001-12-12,Final Jeopardy!,TV SPIN-OFFS,Tracy Bond Bird,Christopher Seivard,M J Selle,Kentucky,Pennsylvania,Texas
4951,2006-03-06,Final Jeopardy!,AMERICAN HISTORY,Matt Bregman,Bruce Brown,Deborah Melman-Clement,New York,Ohio,Canada
5518,2008-09-10,Final Jeopardy!,BRAND NAMES,Karen Thomas,Laura Novak,Greg Lindsay,New York,Ohio,New York
2821,1996-12-02,Final Jeopardy!,"NUMBER, PLEASE",Helen Andrews,Harry Barker,Marv Macintyre,Massachusetts,Indiana,New Hampshire
3127,1998-03-17,Final Jeopardy!,STATE CAPITALS,John Hart,Rebecca Rhyne,Christopher Ruth,Oregon,Texas,Connecticut
4141,2002-09-09,Final Jeopardy!,POETS,Mike Vethacke,Lisa Levenson,Jake Maeroff,Michigan,New York,Florida
4217,2002-12-24,Final Jeopardy!,U.S. STATES,Dave Hiersekorn,Jennifer Stolarski,Marc Goldenberg,California,Michigan,Florida
5958,2010-07-07,Final Jeopardy!,GEOGRAPHY,Bryce Piotrowski,Joli Millner,Molly Gier,Wisconsin,Virginia,Missouri
3909,2001-09-06,Final Jeopardy!,HISTORIC NAMES,Christen O'Connor,Joe Zito,Ramsey Campbell,Massachusetts,Louisiana,California
4171,2002-10-21,Final Jeopardy!,PEOPLE,Ben Whitlock,Matt Moline,Lisa Caucci,Virginia,California,Georgia
5781,2009-11-02,Final Jeopardy!,HISTORIC AMERICANS,Emily Lever,Bonny Jain,Will Dantzler,Maryland,Illinois,South Carolina
3050,1997-11-28,Final Jeopardy!,TELEVISION,Heather O'Neill,Claire Guthrie Gastanaga,Steven Jupiter,North Carolina,Virginia,New York
6163,2011-06-01,Final Jeopardy!,THE RAILROADS,Maggie Berndt,Michael Philpy,Ty Cone,Illinois,Indiana,New York
6028,2010-11-24,Final Jeopardy!,PAINTINGS,Stephanie Gumble,Rebecca O'Brien,Bob Kennedy,Massachusetts,New York,California
3172,1998-05-19,Final Jeopardy!,STATE CAPITALS,Whitney Babash,Jesse Lewis,Trudy Ring,Virginia,New Jersey,California
5411,2008-03-03,Final Jeopardy!,U.S. GEOGRAPHY,Gretchen Wahl,Robin Woods,Jason Dizon,Illinois,Colorado,New York
4253,2003-02-12,Final Jeopardy!,NEW ENGLAND,John Zhang,Stephanie Ehresman,Ben Swartz,Kentucky,New York,Virginia
5197,2007-03-27,Final Jeopardy!,ART HISTORY,Betsy Bangs,Khoa Le,Doug Hicton,Michigan,New York,Canada
2355,1994-11-25,Final Jeopardy!,AMERICAN POLITICAL TERMS,David Hillinck,Rachael Schwartz,Jeff Stewart,California,New Jersey,Oregon
5644,2009-03-05,Final Jeopardy!,FRANCO-AMERICAN HISTORY,Sara Harold,Clay Brown,Tim McMahon,California,North Carolina,Kentucky
4599,2004-09-09,Final Jeopardy!,PRESIDENTS,Todd Perkins,Amy Helmes,Ken Jennings,California,Ohio,Utah
6076,2011-01-31,Final Jeopardy!,21st CENTURY EMMYS,Johnny Marigliano,Jean Dupon,Eureka Nutt,New York,California,California
4197,2002-11-26,Final Jeopardy!,POLITICIANS,Ian Buckwalter,Celeste Cooper,Faith Love,"Washington, D.C.",Ohio,Maryland
4648,2004-11-17,Final Jeopardy!,SCIENCE NEWS,Vicky Manos,Ari Schoenholtz,Casey Retterer,New York,Maryland,Maryland
5375,2008-01-11,Final Jeopardy!,OPERA INSPIRATIONS,Shauna Redmond,Angela Ruediger,Anna Rodriguez,California,Pennsylvania,Colorado
1851,1992-09-28,Final Jeopardy!,ENTERTAINERS OF THE PAST,Frances Moore,Sharon Kirkes,Marty Brophy,Nevada,Georgia,Illinois
5837,2010-01-19,Final Jeopardy!,U.S. STATE NAMES,Dan Campbell,Christine Havens,Jason Zollinger,Tennessee,Iowa,New York
3793,2001-02-14,Final Jeopardy!,FAMOUS PLACES,Laszlo Mero,Fredrik Gildea,Gosia Czepek,Hungary,Sweden,Poland
4832,2005-09-20,Final Jeopardy!,BY THE NUMBERS,Ray Freson,Stacey Swann,Victoria Groce,Virginia,Texas,Georgia
3004,1997-09-25,Final Jeopardy!,IN THE NEWS,Abby Aronson,Mushtaq Kapasi,Bob Willoughby,New Jersey,Texas,Wisconsin
14,1984-09-27,Final Jeopardy!,BUSINESS & INDUSTRY,Larry Caplan,Karen Olson,Ed Osawa,Florida,Colorado,California
5965,2010-07-16,Final Jeopardy!,NO. 1 POP HITS,Leslie Williams,John Krizel,Van Lane,Arizona,West Virginia,Colorado
4258,2003-02-19,Final Jeopardy!,COMPANY NAMES,David Vermillion,Laura Chan,Travis Troyer,Connecticut,Florida,Maryland
4696,2005-01-24,Final Jeopardy!,MIDDLE EASTERN AFFAIRS,Katie Heim,Tom McFarland,Ted Stratton,California,Colorado,Ohio
5058,2006-09-13,Final Jeopardy!,VICE PRESIDENTS,Matt Thomas,Meighan Larbi,Nathalie Henderson,Illinois,Florida,Louisiana
5881,2010-03-22,Final Jeopardy!,SHAKESPEARE TITLES,Lisa Horowitz,Jonathan Sanchez,Kristian Zoerhoff,California,South Carolina,Illinois
3061,1997-12-15,Final Jeopardy!,SPORTS,Holly Highsmith Abrams,Dan Brodeur,Jennifer Hopens,Virginia,Connecticut,Texas
4411,2003-11-10,Final Jeopardy!,NEW ORLEANS,Robby Schrum,Mary Naam,Ken Basin,Indiana,Illinois,California
3528,1999-12-29,Final Jeopardy!,THE 1970s,Jack Archey,Terri Jones,Judith Martin Straw,California,Ohio,California
3287,1998-12-15,Final Jeopardy!,CHARITIES,Kathy Lester,James Arey,Kristi Yacich,Kentucky,Louisiana,Louisiana
497,1986-11-04,Final Jeopardy!,BEST SELLERS,Dave Maney,Nancy Zende,Sherman Allen,New York,South Carolina,Texas
2908,1997-04-02,Final Jeopardy!,THE CALENDAR,Barry Koron,Romaine White,Christian Stallsmith,California,Georgia,Virginia
4312,2003-05-06,Final Jeopardy!,LEGAL HISTORY,Mark Dawson,Trevor Norris,Max Levaren,Georgia,"Washington, D.C.",California
3367,1999-04-06,Final Jeopardy!,20th CENTURY WOMEN,Mary Katz,Kevin Knight,Dan Inloes,Georgia,North Carolina,Michigan
3268,1998-11-18,Final Jeopardy!,20th CENTURY NOVELS,Julie Robichaux,Eric Newhouse,Stefanie Wulfestieg,New York,Iowa,England
2513,1995-07-05,Final Jeopardy!,LITERARY OPERAS,Dan Schay,Nancy Robertson,Isaac Segal,Pennsylvania,California,New Jersey
3164,1998-05-07,Final Jeopardy!,SPORTS TEAMS,Katy Sprinkel,Andrew Hutchings,Chanel Lee,Colorado,Arizona,New York
4712,2005-02-15,Final Jeopardy!,SHAKESPEAREAN ROYALTY,Tom Cubbage,Bob Harris,Frank Epstein,Oklahoma,California,California
1430,1990-11-16,Final Jeopardy!,ISLANDS,Bob Blake,Larry McKnight,Steve Berman,British Columbia,California,New Jersey
6245,2011-11-11,Final Jeopardy!,BUSINESS,Roger Craig,Mark Runsvold,Joon Pahk,Delaware,Idaho,Massachusetts
4365,2003-07-18,Final Jeopardy!,PEOPLE IN GOVERNMENT,Sam Ott,Loren Duggan,George Dudley,California,Maryland,Tennessee
3265,1998-11-13,Final Jeopardy!,PLAYS,Chip Hicks,Tracy Ross,Harry Silverstein,South Carolina,Massachusetts,New York
6134,2011-04-21,Final Jeopardy!,SCIENTISTS,Beth Miller,Brian Meacham,Robin Woolsey,Washington,Alaska,Alabama
5152,2007-01-23,Final Jeopardy!,BUSINESS INNOVATIONS,Jen Heddle,Freddy Bee,Leah Buswell,New York,California,Washington
1311,1990-04-23,Final Jeopardy!,STATE CAPITALS,Robin Corkery,Carol Chaffee,Liz Barnea,Washington,California,Montana
3783,2001-01-31,Final Jeopardy!,-OLOGIES,Mark Stacy,Rob Vernon,Cara Colbert,West Virginia,New Jersey,Texas
5127,2006-12-19,Final Jeopardy!,THE ACADEMY AWARDS,Mariann Buonadonna,Christian Ruud,Steve Unite,New Jersey,Minnesota,California
4467,2004-01-27,Final Jeopardy!,THE BUSINESS BOOKSHELF,Rich Quigley,Lili Williams,Todd Wilson,Wisconsin,California,Georgia
3692,2000-09-26,Final Jeopardy!,WORD ORIGINS,Frank Lloyd,Penny Bloedel,Andrew Garen,Arizona,Kansas,New York
3943,2001-10-24,Final Jeopardy!,SPORTS ON TV,Ryan Moore,Michelle Clum,Michael Arnone,California,Kansas,Virginia
4768,2005-05-04,Final Jeopardy!,VOCABULARY,Paul Gutowski,Bev Schwartzberg,Frank Spangenberg,Illinois,California,New York
3581,2000-03-13,Final Jeopardy!,SPORTS STARS,Robin Carroll,Ted Kissell,Charles Hubert,Georgia,Florida,Georgia
5239,2007-05-24,Final Jeopardy!,WORLD GEOGRAPHY,Pauline Harris,Mehrun Etebari,James Clark,California,New Hampshire,Pennsylvania
3883,2001-06-20,Final Jeopardy!,MEDICAL ISSUES,Lan Djang,Eleanor Bukowsky,Jay Robison,Ontario,New York,Texas
2125,1993-11-26,Final Jeopardy!,THE CABINET,Tom Nosek,Bev Schwartzberg,Marilyn Kneeland,California,Massachusetts,California
3237,1998-10-06,Final Jeopardy!,AMERICAN SYMBOLS,Chuck Moul,Linda Zusman,Heather Bell,Illinois,New York,New Jersey
5548,2008-10-22,Final Jeopardy!,THE EMMY AWARDS,Margaret Seiler,Alex Harriger,Mike Maheu,Oregon,Missouri,California
4200,2002-11-29,Final Jeopardy!,AFRICA,Michael Kelly,Raj Dhuwalia,Faith Love,Maryland,Florida,Maryland
2889,1997-03-06,Final Jeopardy!,FAMOUS WOMEN,Timothy Hsieh,Jenna Jackson,Jim Diggins,California,California,Ohio
4956,2006-03-13,Final Jeopardy!,AMERICAN HISTORY,Lucretia Manning,Gerald McClanahan,Chris Smith,Georgia,California,Texas
1656,1991-11-11,Final Jeopardy!,AUTHORS,Jim Scott,Mark Pestronk,Leslie Frates,Maryland,"Washington, D.C.",California
4158,2002-10-02,Final Jeopardy!,BROADWAY STARS,Tom Kerr,Teresa Peachey,Christine Schmidt,"Washington, D.C.",Maryland,Florida
5077,2006-10-10,Final Jeopardy!,CLASSIC CARTOON CHARACTERS,David Dietz,Kathleen Fuller,Sherman Lo,Kansas,Illinois,California
3566,2000-02-21,Final Jeopardy!,U.S. CITIES,Robert Oakley,Emily Evans,Jeremy Bate,Virginia,California,California
5645,2009-03-06,Final Jeopardy!,CELEBRATIONS,Inta Antler,Stephanie Herndon,Sara Harold,Canada,Texas,California
3240,1998-10-09,Final Jeopardy!,WORDS,Roger Clendening II,Diane Pietrzak,Melizza Zygmunt,Florida,Illinois,Indiana
5466,2008-05-19,Final Jeopardy!,THE MOVIES,Mary Kay Schmidt,Michael Vanderbilt,Tom Morris,Wisconsin,New York,California
2621,1996-01-15,Final Jeopardy!,POLITICIANS,Nick Lamelza,John Zappacosta,Barbara Walker,Pennsylvania,Pennsylvania,Maryland
5563,2008-11-12,Final Jeopardy!,WORD ORIGINS,Karan Takhar,Drew Scheeler,Audrey Hosford,Massachusetts,Ohio,Maryland
5980,2010-09-17,Final Jeopardy!,RIVERS,Ryan Hedlund,Shaama Pandya,Roger Craig,Louisiana,"Washington, D.C.",Delaware
5545,2008-10-17,Final Jeopardy!,ORGANIZATIONS,Steffa Burke,David Weiss,Meredith Robbins,Pennsylvania,Montana,New York
966,1988-11-14,Final Jeopardy!,THE CIVIL WAR,Mark Lowenthal,Kate Waits,Michael Rankins,Virginia,New York,California
3794,2001-02-15,Final Jeopardy!,THE UNITED NATIONS,Robin Carroll,Fredrik Gildea,Carsten Wiedemann,Georgia,Sweden,Denmark
3035,1997-11-07,Final Jeopardy!,WOMEN AUTHORS,Bea Vo,James Sumner,Meghan Arnold,Virginia,Mississippi,Oregon
3696,2000-10-02,Final Jeopardy!,POP MUSIC,Rachel Mills,John Fabros,Amy Mandel,Kentucky,Illinois,Florida
5499,2008-07-03,Final Jeopardy!,U.S. PRESIDENTS,Marianne Eismann,Larry Schneider,Darryl Tahirali,California,Missouri,Canada
3818,2001-03-21,Final Jeopardy!,HISTORIC TERMS,Gregg Luchs,Abigail Strubel,Rob Core,California,New York,Ohio
5287,2007-09-11,Final Jeopardy!,AFRICAN CITIES,Megan Bygness,Rick Kent,Keli Jackson,Iowa,California,Maryland
4206,2002-12-09,Final Jeopardy!,WORDS,Jennifer Pasche,Thom Morrissey,Ayesha Black,Illinois,California,California
1285,1990-03-16,Final Jeopardy!,LITERARY CHARACTERS,Keith Harrett,Mark Shrager,Phil Leib,California,California,New Jersey
4522,2004-04-13,Final Jeopardy!,WORD HISTORY,Billy Buchsbaum,Kristine Beck,Scott Renzoni,Texas,Wisconsin,Vermont
3277,1998-12-01,Final Jeopardy!,THE OLYMPICS,Danielle Cast,Doug Higbee,Andrew Maly,Wisconsin,California,Maryland
3509,1999-12-02,Final Jeopardy!,NOVELISTS,Barbara Krause,Steven Wyatt,Karen Marlowe,California,Indiana,New Jersey
3967,2001-11-27,Final Jeopardy!,SIGNS & SYMBOLS,Kris MacCubbin,Rebekah Lacey,Harold Skinner,Maryland,Massachusetts,South Carolina
5089,2006-10-26,Final Jeopardy!,GOVERNMENT & POLITICS,Chris Mazurek,Jason Stuart,Tracy Parrish Wolfe,Missouri,California,Indiana
5149,2007-01-18,Final Jeopardy!,ANIMATED CHARACTERS,Linda Schildkraut,Katy Tripodi Griffith,Al Cadena,New York,New Hampshire,California
2595,1995-12-08,Final Jeopardy!,EUROPE,Richard Prince,Michael McGuinness,Gwen LaTray,California,California,Indiana
4782,2005-05-24,Final Jeopardy!,LAW & SOCIETY,Jerome Vered,Ken Jennings,Brad Rutter,California,Utah,Pennsylvania
1283,1990-03-14,Final Jeopardy!,AMERICAN POETRY,Sharon Schwartz,Michael Abracham,Phil Leib,New York,Massachusetts,New Jersey
4828,2005-09-14,Final Jeopardy!,18th CENTURY LITERATURE,John Shivers,Sharon Rupe,David Madden,Wisconsin,Florida,New Jersey
6203,2011-07-27,Final Jeopardy!,ROYALTY,Ryan Fox,Amy George,Linda Percy,Georgia,Virginia,Pennsylvania
6158,2011-05-25,Final Jeopardy!,FEMALE SINGERS,James Ma,Amy Ruberg,Tom Brown,New Jersey,Indiana,Pennsylvania
3408,1999-06-02,Final Jeopardy!,ITALIAN VOCABULARY,Seale Pylate,Dave Martin,Frank Stokes,Massachusetts,Oregon,Arkansas
2990,1997-09-05,Final Jeopardy!,U.S. STAMPS,Fred Ramen,Cathi Pedersen,Shawn Askew,New York,Florida,Alabama
3574,2000-03-02,Final Jeopardy!,BUSINESS & INDUSTRY,Jim Bush,Kristi Barksdale,Susan Caylor,California,Georgia,Georgia
5119,2006-12-07,Final Jeopardy!,WORLD GEOGRAPHY,Kate Harvey,Dan McMurray,Christian Haines,Colorado,Wisconsin,Virginia
3927,2001-10-02,Final Jeopardy!,SPORTS STARS,Melinda Wittenburg,Jeff Rhodes,Janna Marshall,Tennessee,Georgia,Wisconsin
5124,2006-12-14,Final Jeopardy!,WORD ODDITIES,R.J. Lesch,Ann Fletcher,Cory Hartman,Iowa,Tennessee,New Jersey
4706,2005-02-07,Final Jeopardy!,THE ELEMENTS,Anne Shivers,Wes Kovarik,Michael Braun,Illinois,California,Maryland
4264,2003-02-27,Final Jeopardy!,ADVERTISING ICONS,Gay Chun,Jeff Fowler,Tom Inskeep,Connecticut,California,Florida
3081,1998-01-12,Final Jeopardy!,TV & MOVIE SETTINGS,Chris Marker,Paula Hyden,Bonnie Gluhanich,Connecticut,Texas,Michigan
3832,2001-04-10,Final Jeopardy!,FILMS & AUTHORS,Pete Sekula,Doug Kollasch,Ryan Moore,Wisconsin,Iowa,California
